Category,Business Name,Contact Name,Email,Phone,Website,Instagram,Other Social,Street Address,City,State,Zip,Days of Operation,Hours of Operation
Brewery,Boothbay Craft Brewery,,,,boothbaycraftbrewery.com,,,12 Adams Pond Rd,Boothbay,ME,04537,,
Brewery,Bray's Brewing Company,,,,braysbrewpub.com,,,169 Casco Rd,Naples,ME,04055,,
Brewery,Brickyard Hollow Brewing Company,,,,brickyardhollow.com,,,28 Free St,Portland,ME,,,
Brewery,Bunker Brewing Company,,,(207) 613-9471,bunkerbrewing.com,,,17 Westfield St,Portland,ME,04101,,
Brewery,Cushnoc Brewing Company,,,,cushnocbrewing.com,,,143 Water St,Augusta,ME,04330,,
Brewery,DeepWater Brewing Company,,,,deepwaterbrewing.com,,,,Blue Hill,ME,,,
Brewery,Definitive Brewing Company,,,(207) 956-3228,definitivebrewing.com,,,35 Cross St,Portland,ME,04101,,
Brewery,First Mile Brewing Company,,,,firstmilebrewing.com,,,,Fort Kent,ME,,,
Brewery,Flight Deck Brewing,,,,flightdeckbrewing.com,,,11 Atlantic Ave,Brunswick,ME,04011,,
Brewery,Fogtown Brewing Company,,,,fogtownbrewing.com,,,,Ellsworth,ME,,,
Brewery,Foundation Brewing,,,(207) 370-8187,foundationbrew.com,,,1 Industrial Way,Portland,ME,04103,,
Brewery,Freeport Brewing Company,,,,freeportbrewing.com,,,,South Portland,ME,,,
Brewery,Funky Bow Brewery and Beer Company,,,(207) 409-6814,funkybowbeercompany.com,,,21 Ledgewood Ln,Lyman,ME,04002,,
Brewery,Geaghan Brothers Brewing Company,,info@geaghans.com,(207) 945-3730,geaghans.com,@geaghanbros,,570 Main St,Bangor,ME,04401,,
Brewery,Geary Brewing Company,,,(207) 878-2337,gearybrewing.com,,,38 Evergreen Dr,Portland,ME,04103,,
Brewery,Goodfire Brewing Company,,,(207) 805-1935,goodfirebrewing.com,,,275 Anderson St,Portland,ME,04101,,
Brewery,Gritty McDuff's,,,(207) 865-4321,grittys.com,,,396 Fore St,Auburn,ME,04101,,
Brewery,Kennebunk Brewing Company,,,,kennebunkbrewing.com,,,,Kennebunk,ME,,,
Brewery,The Liberal Cup Public House and Brewery,,,,theliberalcup.com,,,115 Water St,Hallowell,ME,04347,,
Brewery,Lone Pine Brewing Company,,info@lonepinebrewery.com,(207) 536-4952,lonepinebrewery.com,@lonepine_tastingrooms,,219 Anderson St,Portland,ME,04101,,
Brewery,Lubec Brewing Company,,,,lubecbrewing.com,,,41 Water St,Lubec,ME,04652,,
Brewery,Maine Beer Company,,,(207) 221-5711,mainebeercompany.com,@mainebeerco,,525 US Route 1,Freeport,ME,04032,,
Brewery,Marshall Wharf Brewing Company,,,(207) 338-1707,marshallwharf.com,,,2 Pinchy Ln,Belfast,ME,04915,,
Brewery,Mason's Brewing Company,,,(207) 989-0999,masonsbrewing.com,,,18 Alden St,Brewer,ME,,,
Brewery,Mast Landing Brewing Company,,,(207) 887-9147,mastlandingbrewing.com,,,920 Main St,Westbrook,ME,04092,,
Brewery,Northern Maine Brewing Company,,,,northernmainebrewing.com,,,,Caribou,ME,,,
Brewery,Norway Brewing Company,,,,norwaybrewing.com,,,,Norway,ME,,,
Brewery,Oak Pond Brewing,,,,oakpondbrewery.com,,,,Skowhegan,ME,,,
Brewery,Orono Brewing Company,,,(207) 866-2739,oronobrewing.com,,,20 Main St,Orono,ME,04473,,
Brewery,Oxbow Brewing,,,(207) 315-5962,oxbowbeer.com,,,274 Jones Woods Rd,Newcastle,ME,04553,,
Brewery,Peak Organic Brewing Company,,,,peakbrewing.com,,,,Portland,ME,,,
Brewery,Rising Tide Brewing Company,,,(207) 370-2337,risingtidebrewing.com,,,103 Fox St,Portland,ME,04101,,
Brewery,Sea Dog Brewing Company,,,(207) 947-8009,seadogbrewing.com,,,26 Front St,Bangor,ME,04401,,
Brewery,Sebago Brewing Company,,,(207) 856-2537,sebagobrewing.com,,,616 Main St,Gorham,ME,04038,,
Brewery,Sheepscot Valley Brewing,,,,sheepscotbrewing.com,,,74 Main St,Whitefield,ME,04353,,
Brewery,Strong Brewing Company,,,,strongbrewing.com,,,,Sedgwick,ME,,,
Brewery,Sunday River Brewing Company,,,,sundayriverbrewpub.com,,,29 Sunday River Rd,Bethel,ME,04217,,
Brewery,Tributary Brewing Company,,,,tributarybrewing.com,,,10 Shapleigh Rd,Kittery,ME,03904,,
Brewery,Tumbledown Brewing Company,,,,tumbledownbrewing.com,,,,Farmington,ME,,,
On-Premise,The 196 Club,,,,the196club.com,,,,Hartford,CT,,,
On-Premise,Arch Street Tavern,,booking@archstreettavern.com,(860) 246-7610,archstreettavern.com,,,85 Arch Street,Hartford,CT,06103,,
On-Premise,Vaughan's Public House,,,,vaughanspublichouse.com,,,59 Pratt Street,Hartford,CT,,,
On-Premise,Ninety Nine Restaurant & Pub,,,,99restaurants.com,,,,Hartford,CT,,,
On-Premise,Bourbon Street North,,,,bourbonstreetnorth.com,,,,Hartford,CT,,,
On-Premise,Stash's Cafe,,,,,,,,Hartford,CT,,,
On-Premise,The Russian Lady,,,(860) 247-5239,therussianlady.com,,,191 Ann Uccello St,Hartford,CT,06103,,
Off-Premise,CT Beverage Mart,,,,,,,,Connecticut,CT,,,
Off-Premise,Total Wine & More,,,,totalwine.com,,,,West Hartford,CT,,,
Off-Premise,Grand Wine & Spirits,,,,,,,,Waterford,CT,,,
On-Premise,The Avery,,,,theaverybar.com,,,,Providence,RI,,,
On-Premise,Trinity Brewhouse,,,(401) 453-2337,trinitybrewhouse.com,,,186 Fountain St,Providence,RI,02903,,
On-Premise,The Eddy,,,(401) 831-3339,theeddypvd.com,,,95 Eddy St,Providence,RI,02903,,
On-Premise,The Black Sheep,,theblacksheepprovidence@gmail.com,(401) 274-5061,blacksheepri.com,,,397 Westminster St,Providence,RI,02903,,
On-Premise,Noir,,,,noirprovidence.com,,,,Providence,RI,,,
On-Premise,Alchemy,,,,,,,,Providence,RI,,,
On-Premise,Free Play Bar Arcade,,,(401) 316-4299,freeplayarcade.com,,,182 Pine St,Providence,RI,02903,,
On-Premise,Varsity Luxury Sports Bar,,,,,,,,Providence,RI,,,
On-Premise,Deadbeats,,,,,,,,Providence,RI,,,
On-Premise,Icon Lounge,,,,,,,,Providence,RI,,,
On-Premise,Rooftop at the Providence G,,,,,,,,Providence,RI,,,
On-Premise,The Parlour,,,,theparlourpvd.com,,,,Providence,RI,,,
On-Premise,The Hot Club,,,(401) 861-9007,hotclubprov.com,,,25 Bridge St,Providence,RI,02903,,
On-Premise,Wild Colonial,,,,wildcolonialpvd.com,,,,Providence,RI,,,
On-Premise,Lucky Enough Bar and Eats,,,,,,,,Providence,RI,,,
On-Premise,Blyth & Burrows,,info@blythandburrows.com,,blythandburrows.com,,,26 Exchange St,Portland,ME,04101,,
On-Premise,ViA VECCHiA,,,,viavecchia.me,,,10 Dana Street,Portland,ME,,,
On-Premise,The Longfellow Hotel Lounge,,,,longfellowhotel.com,,,,Portland,ME,,,
On-Premise,Amigos,,,,amigosportland.com,,,,Portland,ME,,,
On-Premise,Gritty McDuff's,,,,grittys.com,,,,Portland,ME,,,
Off-Premise,Trotta's Fine Wine and Spirits,,,,,,,,Massachusetts,MA,,,
Off-Premise,Worcester Discount Liquors,,,,worcesterdiscountliquors.com,,,254 Mill Street,Worcester,MA,,,
Off-Premise,East Side Discount Liquors,,,,,,,129 Shrewsbury Street,Worcester,MA,,,
Off-Premise,Table and Vine,,,(413) 858-5350,tableandvine.com,,,1119 Riverdale St,West Springfield,MA,01089,,
Off-Premise,Sullivans Allen Package Store,,,,,,,,Springfield,MA,,,
Off-Premise,Highland Liquors of Worcester,,,,highlandliquors.com,,,,Worcester,MA,,,
Off-Premise,Kelley Square Liquors,,,,kelleysquareliquors.com,,,,Worcester,MA,,,
Off-Premise,Austin Liquors,,,,austinliquors.com,,,239 Chandler St,Worcester,MA,,,
Off-Premise,Olympic Wine & Liquors,,,,olympicliquors.com,,,,Worcester,MA,,,
Off-Premise,O'Hara's Wine & Liquors,,,,oharasliquors.com,,,,Worcester,MA,,,
Off-Premise,Julio's Liquors,,shop@juliosliquors.com,(508) 366-1942,juliosliquors.com,,,140 Turnpike Road,Westborough,MA,01581,,
Off-Premise,Wachusett Liquors,,,,wachusettliquors.com,,,,Worcester,MA,,,
Off-Premise,Town Wine & Spirits,,,,townwineandspirits.com,,,179 Newport Ave,Rumford,RI,02916,,
Off-Premise,Bridge Liquors,,,,bridgeliquorsri.com,,,,Newport,RI,,,
Off-Premise,Island Wine & Spirits,,,,,,,289 Broadway,Newport,RI,,,
Off-Premise,Bottles Fine Wine,,,,bottlesfinewine.com,,,,Providence,RI,,,
Off-Premise,Newport Wine Cellar & Gourmet,,,,,,,5 Merton Road,Newport,RI,,,
Off-Premise,Point Wine & Spirits,,,,pointwinespirits.com,,,,Newport,RI,,,
Off-Premise,Allen's Wine & Spirits,,,,allensliquorsri.com,,,,Newport,RI,,,
Off-Premise,ENO Fine Wines & Spirits,,,,enofinewines.com,,,,Newport,RI,,,
Off-Premise,Bellevue Wine and Spirits,,,,bellevuewineandspirits.com,,,,Newport,RI,,,
Off-Premise,RSVP Discount Beverage,,,,rsvpdiscountbeverage.com,,,,Portland,ME,,,
Off-Premise,Bow Street Beverage,,,,,,,495 Forest Avenue,Portland,ME,,,
Off-Premise,Old Port Spirits & Cigars,,,,oldportspirits.com,,,,Portland,ME,,,
Off-Premise,Damon's Beverage Mart,,,,,,,,Maine,ME,,,
Off-Premise,Bangor Wine and Cheese,,,,bangorwinecheese.com,,,86 Hammond Street,Bangor,ME,04401,,
Off-Premise,Shaw's Beer Wine & Liquor,,,,,,,1364 Congress St,Portland,ME,,,
On-Premise,Ordinary,,info@ordinarynewhaven.com,(203) 907-0238,ordinarynewhaven.com,,,990 Chapel St,New Haven,CT,06510,,
On-Premise,BAR,,frankatbar1@aol.com,(203) 495-1111,barnightclub.com,,,254 Crown St,New Haven,CT,06511,,
On-Premise,Gryphon's Pub,,,,gryphonspub.com,,,,New Haven,CT,,,
On-Premise,The Crooked Goat Kitchen and Bar,,,,thecrookedgoat.com,,,,New Haven,CT,,,
On-Premise,The Owl Shop,,,,owlshopcigar.com,,,,New Haven,CT,,,
On-Premise,Firehouse 12,,,,firehouse12.com,,,,New Haven,CT,,,
On-Premise,Contois Tavern,,,,contoistavern.com,,,,New Haven,CT,,,
On-Premise,Elm City Social,,,,elmcitysocial.com,,,,New Haven,CT,,,
On-Premise,Old Heidelberg,,,,oldheidelbergnewhaven.com,,,,New Haven,CT,,,
On-Premise,Tavern On State,,,,tavernonstate.com,,,,New Haven,CT,,,
On-Premise,Cafe Nine,,,(203) 789-8281,cafenine.com,,,250 State St,New Haven,CT,06510,,
On-Premise,Trinity Bar,,,,trinitybarnh.com,,,,New Haven,CT,,,
On-Premise,Grafton Street,,,,graftonstreetpub.com,,,,Cambridge,MA,,,
On-Premise,Tommy Doyles,,,,tommydoyles.com,,,,Cambridge,MA,,,
On-Premise,Shays Pub and Winebar,,,,shayspubandwinebar.com,,,,Cambridge,MA,,,
On-Premise,Whitney's,,,,whitneysharvard.com,,,,Cambridge,MA,,,
On-Premise,Russell House Tavern,,,,russellhousetavern.com,,,,Cambridge,MA,,,
On-Premise,Grendel's Den Restaurant & Bar,,,(617) 491-1160,grendelsden.com,,,89 Winthrop St,Cambridge,MA,02138,,
On-Premise,Noir,,,,noirbar.com,,,,Cambridge,MA,,,
On-Premise,The Longfellow Bar,,,,longfellowbar.com,,,40 Brattle Street,Cambridge,MA,,,
On-Premise,Daedalus Restaurant,,,,daedalusrestaurant.com,,,,Cambridge,MA,,,
On-Premise,Alden & Harlow,,,(617) 864-2100,aldenharlow.com,,,40 Brattle St,Cambridge,MA,02138,,
On-Premise,The Druid,,,,druidpub.com,,,,Cambridge,MA,,,
On-Premise,The Cellar Food & Drink,,,,thecellarcambridge.com,,,,Cambridge,MA,,,
On-Premise,Nubar Restaurant and Lounge,,,,nubar.com,,,,Cambridge,MA,,,
On-Premise,Coalhouse,,,,coalhouse.com,,,,Stamford,CT,,,
On-Premise,Tigín Irish Pub,,,,tiginirishpub.com,,,,Stamford,CT,,,
On-Premise,One Club Tequila Lounge,,,,oneclubtequila.com,,,,Stamford,CT,,,
On-Premise,The Beer Garden at Shippan Landing,,,,thebeergardenstamford.com,,,,Stamford,CT,,,
On-Premise,BRICKHOUSE Bar & Grill,,,,brickhousebargrill.com,,,,Stamford,CT,,,
On-Premise,Bar BQ Stamford,,,,barbqstamford.com,,,,Stamford,CT,,,
On-Premise,Sign of the Whale CT,,,,signofthewhalect.com,,,,Harbor Point,Stamford,CT,,
On-Premise,Bedford Hall Craft Kitchen & Bar,,,,bedfordhall.com,,,,Stamford,CT,,,
On-Premise,Steel and Wire Cocktail Lounge,,,,steelandwire.com,,,,Worcester,MA,,,
On-Premise,Free Play Bar Arcade,,,,freeplayarcade.com,,,,Worcester,MA,,,
On-Premise,The Ship Room,,,,theshiroom.com,,,,Worcester,MA,,,
On-Premise,Cocktail Garden & Kitchen,,,,cocktailgardenworcester.com,,,,Worcester,MA,,,
On-Premise,Vincent's,,,,vincentsworcester.com,,,,Worcester,MA,,,
On-Premise,Armsby Abbey,,,(508) 795-1012,armsbyabbey.com,,,144 Main St,Worcester,MA,01608,,
On-Premise,The Mercantile,,,,mercantilew.com,,,,Worcester,MA,,,
On-Premise,The Pint,,,,thepintworcester.com,,,,Worcester,MA,,,
On-Premise,Smitty's Tavern,,,,smittystavern.com,,,,Worcester,MA,,,
On-Premise,Boland's Bar & Patio,,,,bolandsworcester.com,,,,Worcester,MA,,,
On-Premise,The Raven,,,,theravenbar.com,,,,Worcester,MA,,,
On-Premise,Rascals,,,,rascalsworcester.com,,,,Worcester,MA,,,
On-Premise,Electric Haze,,,,electrichaze.com,,,,Worcester,MA,,,
On-Premise,Whiskey On Water,,,,whiskeyonwater.com,,,,Worcester,MA,,,
On-Premise,Off the Rails,,,,offtherailsworcester.com,,,,Worcester,MA,,,
On-Premise,Moynagh's Tavern,,,,christopherstavern.com,,,,Worcester,MA,,,
On-Premise,Christopher's Tavern,,,,clubzonespringfield.com,,,,Springfield,MA,,,
On-Premise,Club Zone,,,,,,,,Springfield,MA,,,
On-Premise,Jevel,,,,commonwealthpvd.com,,,,Springfield,MA,,,
On-Premise,Aquarius,,,,aquariusspringfield.com,,,,Springfield,MA,,,
On-Premise,Commonwealth,,,,petralounge.com,,,,Springfield,MA,,,
On-Premise,Petra Lounge,,,,,,,,Springfield,MA,,,
On-Premise,Theodores Booze Blues & BBQ,,,,theodoresbbq.com,,,201 Worthington St,Springfield,MA,01103,,
On-Premise,TAP Sports Bar,,,,mgmspringfield.com,,,,Springfield,MA,,,
On-Premise,Exchange St. Station,,,,exchangestation.com,,,,Springfield,MA,,,
On-Premise,Le Souk Hookah Lounge,,,,lesoukspringfield.com,,,,Springfield,MA,,,
On-Premise,Paddy's Irish Pub,,,,paddysirishpub.com,,,,Springfield,MA,,,
On-Premise,Nathan Bill's Bar & Restaurant,,,(413) 737-6135,nathanbills.com,,,110 Island Pond Rd,Springfield,MA,01118,,
On-Premise,Gigantic,,,,giganticspringfield.com,,,,Springfield,MA,,,
On-Premise,The Boulevard Tavern & Grill,,,,,,,,Springfield,MA,,,
On-Premise,Polish American Club,,,,gigantic.bar,,,,Springfield,MA,,,
On-Premise,The Back Room Bar And Grill,,,,boulevardtavern.com,,,,Springfield,MA,,,
On-Premise,Student Prince,,info@beanrg.com,(413) 734-7475,studentprince.com,,,8 Fort St,Springfield,MA,01103,,
On-Premise,Murphy's Pub,,,,thebackroombar.com,,,,Springfield,MA,,,
On-Premise,Froggy's Saloon,,,,murphyspubspringfield.com,,,,Springfield,MA,,,
On-Premise,Doc's Place,,,,frogssaloon.com,,,,Springfield,MA,,,
On-Premise,Collins Tavern,,,,docsplacebar.com,,,,Springfield,MA,,,
On-Premise,O'Brien's Corner,,,,collinstavern.com,,,,Springfield,MA,,,
On-Premise,Gin Mill,,,,obrienscorner.com,,,,Springfield,MA,,,
On-Premise,Rumbleseat,,,,ginmillspringfield.com,,,,Springfield,MA,,,
On-Premise,Brass Cat,,,,rumbleseatbar.com,,,,Springfield,MA,,,
On-Premise,Sophia's Pizza & Sports Bar,,,,brasscat.com,,,,Springfield,MA,,,
On-Premise,Max's Tavern,,,,maxtavern.com,,,1000 Hall of Fame Ave,Springfield,MA,01105,,
On-Premise,Fastnet Irish Pub,,,,fastnetpub.com,,,1 Broadway,Newport,RI,02840,,
On-Premise,The Porch,,,,theporchri.com,,,,Newport,RI,,,
On-Premise,The Candy Store,,,,thecandystorenewport.com,,,,Newport,RI,,,
On-Premise,The SkyBar,,,,skybarri.com,,,,Newport,RI,,,
On-Premise,The Midway Bar,,,,midwaybar.com,,,,Newport,RI,,,
On-Premise,The Bistro,,,,bistrori.com,,,,Newport,RI,,,
On-Premise,The Boom Boom Room,,,,boomboomroomnewport.com,,,,Newport,RI,,,
On-Premise,Celtica Irish Pub,,,,celticapub.com,,,,Newport,RI,,,
On-Premise,One Pelham East,,1pelhameast@gmail.com,(401) 847-9460,onepelhameast.com,,,270 Thames St,Newport,RI,02840,,
On-Premise,The Tavern,,,,thetavernnewport.com,,,,Newport,RI,,,
On-Premise,Brick Alley Pub,,contact@brickalley.com,(401) 849-6334,brickalley.com,,,140 Thames St,Newport,RI,02840,,
On-Premise,15 Point,,,,15point.com,,,,Portsmouth,RI,,,
On-Premise,Fieldstones Grille,,,,fieldstonesgrille.com,,,,Portsmouth,RI,,,
On-Premise,Green End,,,,,,,,Portsmouth,RI,,,
On-Premise,Gulf Stream Bar & Grille,,,,,,,,Portsmouth,RI,,,
On-Premise,Queen City Cinema Club,,,,queencitycinemaclub.com,,,,Bangor,ME,,,
On-Premise,Paddy Murphy's,,,,,,,26 Main St,Bangor,ME,,,
On-Premise,Bangor Beer Company,,,,bangorbeerco.com,,,,Bangor,ME,,,
On-Premise,The Waverly,,,,waverlyme.com,,,,Bangor,ME,,,
On-Premise,Barliman's,,,,,,,,Bangor,ME,,,
On-Premise,The Back Alley Bar & Restaurant,,,,barlimanspub.com,,,,Bangor,ME,,,
On-Premise,Main Tavern,,,,backalleybangor.com,,,,Bangor,ME,,,
On-Premise,Easy Street Lounge,,,,,,,,Bangor,ME,,,
On-Premise,Cottage Street Pub,,,,easystreebangor.com,,,,Bangor,ME,,,
On-Premise,Eagles Nest Restaurant,,,,,,,,Bangor,ME,,,
On-Premise,Blaze,,,,,,,,Bangor,ME,,,
